id,delivery_person_age,delivery_person_ratings,order_date,time_orderd,time_order_picked,weather_conditions,road_traffic_density,type_of_order,type_of_vehicle,multiple_deliveries,festival,city,time_taken_min
0x2288,32.0,4.0,2022-03-16,1900-01-01 21:20:00,1900-01-01 21:35:00,windy,jam,Buffet,motorcycle,1,no,metropolitan,47
0x3c5e,23.0,4.8,2022-04-02,1900-01-01 23:35:00,1900-01-01 23:45:00,windy,low,Buffet,electric_scooter,0,no,urban,12
0x3e60,31.0,4.8,2022-04-01,1900-01-01 22:35:00,1900-01-01 22:50:00,sandstorms,low,Drinks,motorcycle,1,no,metropolitan,26
0xbff,36.0,4.1,2022-03-05,1900-01-01 22:35:00,1900-01-01 22:40:00,stormy,low,Drinks,motorcycle,1,no,urban,22
0xd936,26.0,4.3,2022-02-11,1900-01-01 23:25:00,1900-01-01 23:35:00,sandstorms,low,Buffet,motorcycle,0,no,urban,21
0xd681,38.0,4.9,2022-02-11,1900-01-01 13:35:00,1900-01-01 13:40:00,cloudy,high,Drinks,scooter,1,no,urban,25
0x2876,32.0,3.5,2022-03-08,1900-01-01 21:35:00,1900-01-01 21:45:00,stormy,jam,Snack,scooter,0,no,urban,35
0x30c8,32.0,4.6,2022-04-02,1900-01-01 22:35:00,1900-01-01 22:45:00,cloudy,low,Drinks,scooter,1,no,metropolitan,30
0xb843,33.0,4.9,2022-03-08,1900-01-01 18:55:00,1900-01-01 19:10:00,sunny,medium,Snack,motorcycle,1,no,metropolitan,22
0xb3a0,20.0,4.7,2022-04-03,1900-01-01 14:15:00,1900-01-01 14:25:00,windy,high,Snack,scooter,0,no,urban,10
0x4bda,35.0,5.0,2022-04-01,1900-01-01 09:45:00,1900-01-01 09:55:00,sunny,low,Snack,scooter,1,no,urban,11
0x9d26,26.0,4.9,2022-03-28,1900-01-01 08:40:00,1900-01-01 08:55:00,stormy,low,Buffet,scooter,0,no,metropolitan,11
0x5d99,35.0,4.3,2022-03-14,1900-01-01 17:25:00,1900-01-01 17:30:00,cloudy,medium,Snack,motorcycle,1,no,metropolitan,33
0xb796,37.0,4.7,2022-04-04,1900-01-01 19:45:00,1900-01-01 19:50:00,sandstorms,jam,Snack,motorcycle,3,no,metropolitan,52
0x85b4,28.0,4.6,2022-03-08,1900-01-01 19:10:00,1900-01-01 19:25:00,stormy,jam,Snack,scooter,1,no,metropolitan,22
0x6999,23.0,4.9,2022-03-24,1900-01-01 21:40:00,1900-01-01 21:45:00,sunny,jam,Drinks,electric_scooter,0,no,metropolitan,11
0xa30b,37.0,4.8,2022-03-09,1900-01-01 16:45:00,1900-01-01 16:55:00,cloudy,medium,Drinks,motorcycle,1,no,urban,26
0x3556,33.0,5.0,2022-03-19,1900-01-01 11:30:00,1900-01-01 11:40:00,sunny,high,Snack,scooter,1,no,metropolitan,18
0x5554,31.0,4.9,2022-04-03,1900-01-01 15:10:00,1900-01-01 15:15:00,fog,medium,Snack,motorcycle,1,no,metropolitan,16
0x25fd,31.0,4.8,2022-03-25,1900-01-01 22:45:00,1900-01-01 22:55:00,stormy,low,Drinks,scooter,1,no,metropolitan,23
0xc1ff,25.0,5.0,2022-02-13,1900-01-01 22:10:00,1900-01-01 22:25:00,cloudy,low,Snack,motorcycle,0,no,metropolitan,15
0x7ac8,28.0,4.8,2022-04-04,1900-01-01 20:45:00,1900-01-01 20:55:00,sandstorms,jam,Drinks,motorcycle,1,no,metropolitan,36
0x3da1,31.0,4.7,2022-03-26,1900-01-01 22:50:00,1900-01-01 23:05:00,cloudy,low,Snack,motorcycle,0,no,metropolitan,16
0x8e6c,39.0,4.2,2022-03-02,1900-01-01 20:35:00,1900-01-01 20:50:00,fog,jam,Snack,scooter,1,no,semi-urban,49
0x395b,36.0,4.7,2022-03-13,1900-01-01 20:15:00,1900-01-01 20:20:00,cloudy,jam,Snack,motorcycle,1,no,metropolitan,30
0x8aa2,25.0,4.8,2022-03-29,1900-01-01 22:25:00,1900-01-01 22:35:00,sandstorms,low,Drinks,scooter,0,no,urban,18
0x73cc,30.0,4.4,2022-03-12,1900-01-01 22:40:00,1900-01-01 22:55:00,cloudy,low,Drinks,scooter,1,no,metropolitan,34
0xbe80,33.0,5.0,2022-03-31,1900-01-01 23:50:00,1900-01-01 23:55:00,sandstorms,low,Buffet,motorcycle,0,no,urban,24
0x1609,36.0,4.9,2022-03-17,1900-01-01 15:25:00,1900-01-01 15:40:00,fog,medium,Drinks,scooter,1,no,metropolitan,17
0xd255,21.0,4.8,2022-02-15,1900-01-01 10:20:00,1900-01-01 10:30:00,sandstorms,low,Meal,electric_scooter,0,no,metropolitan,14
0x98aa,23.0,4.8,2022-03-07,1900-01-01 10:40:00,1900-01-01 10:50:00,stormy,low,Meal,scooter,1,no,metropolitan,15
0x273a,35.0,4.8,2022-03-28,1900-01-01 15:55:00,1900-01-01 16:05:00,fog,medium,Buffet,scooter,1,no,urban,16
0xa258,39.0,4.6,2022-03-16,1900-01-01 20:10:00,1900-01-01 20:15:00,cloudy,jam,Snack,scooter,1,no,metropolitan,36
0x8b53,22.0,4.7,2022-03-17,1900-01-01 12:10:00,1900-01-01 12:15:00,sunny,high,Buffet,scooter,1,no,urban,18
0xbbde,32.0,4.6,2022-03-15,1900-01-01 15:30:00,1900-01-01 15:45:00,fog,medium,Meal,scooter,0,no,metropolitan,17
0x5ded,24.0,4.8,2022-03-25,1900-01-01 22:10:00,1900-01-01 22:15:00,sandstorms,low,Buffet,motorcycle,1,no,urban,15
0x1a70,29.0,4.7,2022-03-09,1900-01-01 10:35:00,1900-01-01 10:45:00,fog,low,Buffet,motorcycle,1,no,metropolitan,17
0xc606,20.0,4.5,2022-02-11,1900-01-01 21:10:00,1900-01-01 21:25:00,fog,jam,Drinks,motorcycle,1,no,metropolitan,27
0xb962,35.0,4.1,2022-03-12,1900-01-01 20:25:00,1900-01-01 20:40:00,sandstorms,jam,Buffet,motorcycle,2,no,metropolitan,37
0x2dc6,34.0,4.7,2022-03-19,1900-01-01 12:35:00,1900-01-01 12:45:00,windy,high,Drinks,electric_scooter,1,no,metropolitan,28
0xc444,30.0,4.8,2022-02-16,1900-01-01 23:40:00,1900-01-01 23:55:00,windy,low,Snack,motorcycle,1,no,metropolitan,25
0x1fb7,25.0,4.4,2022-03-27,1900-01-01 18:15:00,1900-01-01 18:20:00,cloudy,medium,Snack,scooter,1,no,metropolitan,39
0x34d7,25.0,4.7,2022-03-27,1900-01-01 18:20:00,1900-01-01 18:25:00,stormy,medium,Meal,motorcycle,0,no,urban,20
0x156b,30.0,5.0,2022-03-24,1900-01-01 11:45:00,1900-01-01 11:50:00,stormy,high,Buffet,motorcycle,1,no,metropolitan,31
0x56ad,24.0,4.6,2022-03-09,1900-01-01 20:45:00,1900-01-01 20:55:00,stormy,jam,Buffet,motorcycle,0,no,metropolitan,13
0x837c,39.0,4.8,2022-03-03,1900-01-01 21:55:00,1900-01-01 22:10:00,stormy,jam,Meal,motorcycle,0,no,metropolitan,28
0xcbc4,25.0,4.8,2022-02-15,1900-01-01 12:45:00,1900-01-01 12:50:00,windy,high,Snack,scooter,1,no,urban,19
0xc19e,37.0,4.6,2022-02-18,1900-01-01 23:30:00,1900-01-01 23:45:00,fog,low,Buffet,motorcycle,2,yes,urban,42
0x1d60,24.0,5.0,2022-03-01,1900-01-01 10:50:00,1900-01-01 10:55:00,fog,low,Drinks,motorcycle,1,no,metropolitan,23
0x95fb,25.0,4.2,2022-03-23,1900-01-01 21:25:00,1900-01-01 21:40:00,stormy,jam,Meal,motorcycle,1,no,metropolitan,39
0x8195,32.0,4.6,2022-04-01,1900-01-01 10:10:00,1900-01-01 10:20:00,stormy,low,Drinks,motorcycle,1,no,metropolitan,25
0x6d19,38.0,4.9,2022-03-11,1900-01-01 08:40:00,1900-01-01 08:55:00,cloudy,low,Drinks,scooter,1,no,urban,15
0x35e6,36.0,4.8,2022-03-14,1900-01-01 17:50:00,1900-01-01 17:55:00,sunny,medium,Buffet,electric_scooter,0,no,metropolitan,15
0xb437,25.0,5.0,2022-03-18,1900-01-01 20:25:00,1900-01-01 20:40:00,stormy,jam,Meal,motorcycle,0,no,metropolitan,15
0x97e3,29.0,5.0,2022-04-01,1900-01-01 22:20:00,1900-01-01 22:25:00,sunny,low,Drinks,motorcycle,0,no,metropolitan,18
0xa3e0,36.0,4.7,2022-04-04,1900-01-01 23:40:00,1900-01-01 23:50:00,sandstorms,low,Drinks,electric_scooter,0,no,metropolitan,29
0x4161,33.0,4.7,2022-03-11,1900-01-01 23:25:00,1900-01-01 23:30:00,fog,low,Snack,motorcycle,0,no,metropolitan,20
0x1236,36.0,4.4,2022-03-13,1900-01-01 12:40:00,1900-01-01 12:55:00,cloudy,high,Meal,scooter,1,no,metropolitan,39
0x2558,21.0,4.8,2022-03-04,1900-01-01 23:30:00,1900-01-01 23:45:00,windy,low,Snack,motorcycle,0,no,metropolitan,19
0x4863,25.0,4.6,2022-03-01,1900-01-01 10:25:00,1900-01-01 10:40:00,stormy,low,Snack,motorcycle,1,no,urban,15
0x22ad,27.0,4.6,2022-03-04,1900-01-01 21:25:00,1900-01-01 21:40:00,sandstorms,jam,Buffet,motorcycle,1,no,metropolitan,29
0x9f99,23.0,4.8,2022-03-18,1900-01-01 22:35:00,1900-01-01 22:40:00,cloudy,low,Snack,scooter,1,no,urban,22
0x6781,21.0,4.3,2022-03-23,1900-01-01 20:10:00,1900-01-01 20:20:00,fog,jam,Drinks,scooter,0,no,metropolitan,42
0x1b8d,27.0,4.7,2022-03-15,1900-01-01 10:55:00,1900-01-01 11:10:00,sandstorms,low,Snack,scooter,0,no,urban,12
0x1aea,32.0,4.2,2022-03-08,1900-01-01 20:35:00,1900-01-01 20:45:00,cloudy,jam,Snack,motorcycle,1,no,metropolitan,38
0x1e42,25.0,4.6,2022-03-10,1900-01-01 23:20:00,1900-01-01 23:35:00,sunny,low,Drinks,motorcycle,1,no,metropolitan,23
0xddc8,39.0,4.7,2022-02-11,1900-01-01 10:35:00,1900-01-01 10:50:00,cloudy,low,Meal,scooter,0,no,metropolitan,15
0x24ac,27.0,4.6,2022-03-14,1900-01-01 23:45:00,1900-01-01 23:50:00,sunny,low,Snack,motorcycle,1,no,metropolitan,24
0x628c,31.0,4.8,2022-03-01,1900-01-01 22:15:00,1900-01-01 22:25:00,sandstorms,low,Snack,scooter,0,no,metropolitan,24
0x6c38,31.0,4.8,2022-03-01,1900-01-01 23:10:00,1900-01-01 23:15:00,sunny,low,Buffet,electric_scooter,0,no,metropolitan,13
0x8339,36.0,4.9,2022-03-02,1900-01-01 18:25:00,1900-01-01 18:35:00,cloudy,medium,Drinks,motorcycle,1,no,urban,42
0x3ec5,20.0,4.9,2022-03-20,1900-01-01 22:10:00,1900-01-01 22:20:00,sandstorms,low,Meal,motorcycle,1,no,metropolitan,17
0xadb4,24.0,4.6,2022-04-03,1900-01-01 20:50:00,1900-01-01 21:05:00,cloudy,jam,Drinks,motorcycle,0,no,metropolitan,25
0x2bc0,39.0,4.2,2022-03-29,1900-01-01 18:45:00,1900-01-01 18:50:00,fog,medium,Snack,scooter,0,no,metropolitan,39
0x99e7,37.0,4.8,2022-03-17,1900-01-01 14:55:00,1900-01-01 15:05:00,sunny,high,Meal,scooter,0,no,metropolitan,18
0xe264,22.0,4.5,2022-02-15,1900-01-01 22:20:00,1900-01-01 22:35:00,sandstorms,low,Drinks,scooter,1,no,metropolitan,18
0x9a29,33.0,4.7,2022-03-08,1900-01-01 21:10:00,1900-01-01 21:20:00,fog,jam,Snack,scooter,1,no,metropolitan,49
0xd0e5,23.0,4.7,2022-02-17,1900-01-01 23:25:00,1900-01-01 23:35:00,sunny,low,Drinks,motorcycle,0,no,metropolitan,15
0xa480,27.0,4.6,2022-03-31,1900-01-01 23:30:00,1900-01-01 23:35:00,sunny,low,Drinks,motorcycle,1,no,metropolitan,21
0xb46c,34.0,4.7,2022-03-01,1900-01-01 14:20:00,1900-01-01 14:35:00,sunny,high,Snack,scooter,0,no,metropolitan,23
0x7150,26.0,5.0,2022-04-03,1900-01-01 10:15:00,1900-01-01 10:25:00,fog,low,Meal,scooter,1,no,urban,11
0x1e58,31.0,4.6,2022-03-24,1900-01-01 21:20:00,1900-01-01 21:35:00,cloudy,jam,Snack,motorcycle,0,no,metropolitan,25
0x4460,32.0,4.9,2022-03-07,1900-01-01 08:50:00,1900-01-01 08:55:00,fog,low,Snack,motorcycle,0,no,metropolitan,18
0x894e,28.0,4.8,2022-03-24,1900-01-01 23:10:00,1900-01-01 23:15:00,fog,low,Drinks,motorcycle,0,no,metropolitan,18
0x5a01,24.0,4.9,2022-03-30,1900-01-01 16:35:00,1900-01-01 16:50:00,fog,medium,Meal,scooter,1,no,urban,17
0x655,33.0,4.4,2022-03-05,1900-01-01 08:30:00,1900-01-01 08:40:00,sandstorms,low,Snack,motorcycle,1,no,metropolitan,28
0x20f6,20.0,4.6,2022-03-18,1900-01-01 20:35:00,1900-01-01 20:50:00,fog,jam,Buffet,motorcycle,0,yes,metropolitan,44
0x3db1,31.0,4.3,2022-03-13,1900-01-01 23:25:00,1900-01-01 23:40:00,windy,low,Snack,motorcycle,1,no,metropolitan,20
0x8ed2,36.0,5.0,2022-03-31,1900-01-01 19:55:00,1900-01-01 20:05:00,fog,jam,Snack,motorcycle,1,no,metropolitan,35
0x64cc,31.0,4.2,2022-03-23,1900-01-01 21:20:00,1900-01-01 21:30:00,sandstorms,jam,Meal,motorcycle,1,no,metropolitan,50
0x2ed0,39.0,4.1,2022-03-24,1900-01-01 21:45:00,1900-01-01 21:50:00,stormy,jam,Meal,scooter,1,no,metropolitan,34
0x4008,29.0,4.6,2022-03-12,1900-01-01 19:40:00,1900-01-01 19:55:00,sunny,jam,Meal,electric_scooter,0,no,metropolitan,17
0x35d8,37.0,4.9,2022-03-09,1900-01-01 18:10:00,1900-01-01 18:20:00,fog,medium,Buffet,motorcycle,1,no,metropolitan,27
0x9832,33.0,4.7,2022-03-17,1900-01-01 12:20:00,1900-01-01 12:30:00,cloudy,high,Snack,motorcycle,0,no,urban,26
0x4c88,31.0,3.9,2022-03-18,1900-01-01 23:40:00,1900-01-01 23:50:00,cloudy,low,Buffet,scooter,1,no,metropolitan,35
0x9693,37.0,4.6,2022-03-19,1900-01-01 12:50:00,1900-01-01 12:55:00,windy,high,Drinks,motorcycle,1,no,urban,41
0x8d18,23.0,4.8,2022-04-03,1900-01-01 10:25:00,1900-01-01 10:35:00,windy,low,Buffet,scooter,1,no,metropolitan,19
0x9cba,36.0,4.9,2022-03-11,1900-01-01 09:10:00,1900-01-01 09:25:00,windy,low,Buffet,scooter,1,no,metropolitan,27
0x9b79,39.0,4.8,2022-04-01,1900-01-01 12:30:00,1900-01-01 12:45:00,cloudy,high,Snack,motorcycle,1,no,metropolitan,28
0x596a,20.0,4.7,2022-03-20,1900-01-01 17:10:00,1900-01-01 17:20:00,sandstorms,medium,Drinks,motorcycle,1,no,metropolitan,24
0x78aa,20.0,5.0,2022-03-31,1900-01-01 19:15:00,1900-01-01 19:30:00,cloudy,jam,Meal,motorcycle,1,no,urban,36
0xd7ec,29.0,4.3,2022-02-13,1900-01-01 23:50:00,1900-01-01 23:55:00,sandstorms,low,Buffet,motorcycle,0,no,metropolitan,28
0x55b1,36.0,4.8,2022-03-29,1900-01-01 18:45:00,1900-01-01 18:50:00,fog,medium,Drinks,motorcycle,1,no,urban,31
0x87e4,36.0,4.0,2022-03-16,1900-01-01 20:40:00,1900-01-01 20:45:00,sunny,jam,Meal,motorcycle,3,no,metropolitan,44
0x82c3,22.0,4.8,2022-03-14,1900-01-01 22:10:00,1900-01-01 22:25:00,windy,low,Drinks,scooter,1,no,metropolitan,15
0x5397,38.0,4.4,2022-03-31,1900-01-01 17:20:00,1900-01-01 17:25:00,windy,medium,Buffet,motorcycle,1,no,metropolitan,33
0x876b,39.0,4.9,2022-03-17,1900-01-01 19:55:00,1900-01-01 20:10:00,fog,jam,Buffet,motorcycle,0,no,metropolitan,30
0x3a5a,24.0,4.9,2022-03-28,1900-01-01 18:15:00,1900-01-01 18:25:00,stormy,medium,Snack,scooter,1,no,metropolitan,22
0x5631,35.0,4.8,2022-03-04,1900-01-01 17:25:00,1900-01-01 17:35:00,fog,medium,Meal,motorcycle,3,no,metropolitan,48
0xde01,39.0,4.7,2022-02-14,1900-01-01 18:30:00,1900-01-01 18:35:00,windy,medium,Snack,motorcycle,1,no,urban,21
0x8771,31.0,4.3,2022-03-25,1900-01-01 21:35:00,1900-01-01 21:45:00,windy,jam,Drinks,motorcycle,0,no,metropolitan,44
0x3645,37.0,4.5,2022-03-17,1900-01-01 08:40:00,1900-01-01 08:55:00,windy,low,Drinks,scooter,0,no,metropolitan,26
0x1ff1,37.0,4.7,2022-04-01,1900-01-01 22:35:00,1900-01-01 22:40:00,windy,low,Buffet,scooter,1,no,metropolitan,26
0x4a3c,33.0,5.0,2022-03-19,1900-01-01 11:45:00,1900-01-01 11:50:00,windy,high,Meal,motorcycle,1,no,metropolitan,31
0x6e0d,24.0,4.6,2022-03-07,1900-01-01 23:25:00,1900-01-01 23:40:00,stormy,low,Meal,scooter,1,no,urban,19
0x6cc6,33.0,4.5,2022-03-02,1900-01-01 19:10:00,1900-01-01 19:15:00,sunny,jam,Snack,scooter,0,no,metropolitan,18
0x690f,37.0,4.6,2022-03-29,1900-01-01 18:15:00,1900-01-01 18:25:00,cloudy,medium,Snack,motorcycle,1,no,metropolitan,32
0xb4ba,25.0,4.9,2022-03-07,1900-01-01 22:30:00,1900-01-01 22:35:00,sandstorms,low,Meal,scooter,1,no,metropolitan,17
0x88dd,38.0,4.7,2022-03-30,1900-01-01 13:10:00,1900-01-01 13:20:00,windy,high,Buffet,motorcycle,1,no,metropolitan,31
0x87a8,31.0,4.6,2022-03-19,1900-01-01 17:55:00,1900-01-01 18:05:00,windy,medium,Meal,motorcycle,0,no,metropolitan,25
0x3f8d,25.0,4.8,2022-03-15,1900-01-01 19:50:00,1900-01-01 20:05:00,cloudy,jam,Snack,motorcycle,1,no,metropolitan,22
0x290c,35.0,4.9,2022-03-02,1900-01-01 21:15:00,1900-01-01 21:20:00,fog,jam,Drinks,motorcycle,3,no,metropolitan,43
0x7ece,39.0,4.7,2022-03-31,1900-01-01 19:35:00,1900-01-01 19:45:00,fog,jam,Buffet,motorcycle,1,yes,metropolitan,42
0x1365,38.0,3.9,2022-03-06,1900-01-01 19:10:00,1900-01-01 19:20:00,stormy,jam,Meal,motorcycle,0,no,metropolitan,42
0x33a4,35.0,4.7,2022-03-21,1900-01-01 21:20:00,1900-01-01 21:30:00,fog,jam,Drinks,motorcycle,1,no,metropolitan,34
0x8f3c,29.0,4.7,2022-03-01,1900-01-01 09:50:00,1900-01-01 10:05:00,sandstorms,low,Snack,motorcycle,1,no,metropolitan,17
0x2fe1,27.0,4.6,2022-03-24,1900-01-01 20:35:00,1900-01-01 20:40:00,stormy,jam,Snack,scooter,0,no,metropolitan,25
0x4b5b,38.0,4.3,2022-04-04,1900-01-01 21:15:00,1900-01-01 21:25:00,sandstorms,jam,Meal,motorcycle,1,yes,semi-urban,54
0xd02b,26.0,4.1,2022-02-12,1900-01-01 19:45:00,1900-01-01 19:50:00,fog,jam,Meal,motorcycle,1,no,metropolitan,36
0x1f0e,36.0,4.9,2022-04-05,1900-01-01 17:45:00,1900-01-01 17:55:00,sunny,medium,Drinks,motorcycle,0,no,metropolitan,17
0x57fc,20.0,4.5,2022-03-17,1900-01-01 12:50:00,1900-01-01 12:55:00,fog,high,Meal,motorcycle,1,no,metropolitan,26
0x7a1f,23.0,4.6,2022-03-31,1900-01-01 21:40:00,1900-01-01 21:55:00,fog,jam,Snack,motorcycle,2,yes,metropolitan,46
0xceac,37.0,5.0,2022-02-17,1900-01-01 19:55:00,1900-01-01 20:05:00,sunny,jam,Buffet,motorcycle,0,no,metropolitan,29
0xa0a5,26.0,4.8,2022-03-09,1900-01-01 19:35:00,1900-01-01 19:40:00,sandstorms,jam,Snack,motorcycle,1,no,metropolitan,23
0x892d,29.0,5.0,2022-03-27,1900-01-01 22:35:00,1900-01-01 22:50:00,sandstorms,low,Snack,scooter,0,no,urban,11
0x6118,26.0,4.9,2022-03-25,1900-01-01 17:10:00,1900-01-01 17:25:00,stormy,medium,Snack,motorcycle,0,no,metropolitan,28
0x46fd,29.0,4.8,2022-03-11,1900-01-01 19:35:00,1900-01-01 19:40:00,cloudy,jam,Meal,motorcycle,1,no,metropolitan,25
0x5134,29.0,4.7,2022-03-03,1900-01-01 10:30:00,1900-01-01 10:45:00,sandstorms,low,Snack,motorcycle,0,no,metropolitan,11
0xd418,21.0,4.9,2022-02-15,1900-01-01 18:10:00,1900-01-01 18:20:00,windy,medium,Meal,scooter,1,no,metropolitan,26
0x256c,22.0,4.3,2022-03-07,1900-01-01 10:10:00,1900-01-01 10:25:00,stormy,low,Meal,motorcycle,1,no,metropolitan,23
0x6055,31.0,4.0,2022-03-18,1900-01-01 17:50:00,1900-01-01 18:05:00,fog,medium,Snack,motorcycle,2,no,metropolitan,39
0x7220,30.0,3.9,2022-04-06,1900-01-01 19:55:00,1900-01-01 20:10:00,stormy,jam,Drinks,electric_scooter,0,no,metropolitan,32
0x1568,36.0,4.8,2022-03-06,1900-01-01 17:55:00,1900-01-01 18:10:00,fog,medium,Snack,motorcycle,1,no,metropolitan,43
0x41ea,24.0,4.7,2022-03-19,1900-01-01 15:30:00,1900-01-01 15:40:00,fog,medium,Buffet,scooter,0,no,metropolitan,13
0x1c60,32.0,4.7,2022-03-21,1900-01-01 09:40:00,1900-01-01 09:50:00,windy,low,Buffet,electric_scooter,0,no,metropolitan,25
0x7944,25.0,5.0,2022-03-19,1900-01-01 18:20:00,1900-01-01 18:25:00,windy,medium,Drinks,motorcycle,0,no,metropolitan,27
0x77ee,27.0,4.5,2022-03-28,1900-01-01 15:35:00,1900-01-01 15:50:00,windy,medium,Drinks,scooter,1,no,metropolitan,29
0x2192,32.0,4.1,2022-03-29,1900-01-01 18:15:00,1900-01-01 18:30:00,sandstorms,medium,Buffet,motorcycle,1,no,metropolitan,33
0x78bf,39.0,4.4,2022-03-29,1900-01-01 18:10:00,1900-01-01 18:15:00,sunny,medium,Meal,motorcycle,1,no,metropolitan,33
0x7a5a,20.0,4.8,2022-03-21,1900-01-01 19:15:00,1900-01-01 19:20:00,fog,jam,Snack,motorcycle,1,no,metropolitan,28
0xe00d,29.0,4.6,2022-02-15,1900-01-01 20:30:00,1900-01-01 20:45:00,stormy,jam,Meal,scooter,1,no,metropolitan,29
0xd072,31.0,4.9,2022-02-13,1900-01-01 14:50:00,1900-01-01 15:05:00,sunny,high,Snack,motorcycle,0,no,metropolitan,28
0x9a57,24.0,4.7,2022-03-16,1900-01-01 20:20:00,1900-01-01 20:25:00,fog,jam,Snack,motorcycle,1,no,metropolitan,39
0x52e2,36.0,4.8,2022-03-20,1900-01-01 18:15:00,1900-01-01 18:20:00,sandstorms,medium,Buffet,motorcycle,1,no,metropolitan,36
0x9395,36.0,4.4,2022-03-29,1900-01-01 23:35:00,1900-01-01 23:50:00,fog,low,Snack,motorcycle,0,no,metropolitan,37
0xb5d2,26.0,4.7,2022-03-04,1900-01-01 19:35:00,1900-01-01 19:40:00,cloudy,jam,Meal,motorcycle,1,no,metropolitan,43
0x98ca,33.0,4.7,2022-03-09,1900-01-01 18:10:00,1900-01-01 18:25:00,fog,medium,Buffet,electric_scooter,1,no,urban,15
0x644b,34.0,4.0,2022-03-12,1900-01-01 21:10:00,1900-01-01 21:15:00,windy,jam,Snack,motorcycle,2,no,metropolitan,39
0x7a2d,36.0,4.6,2022-04-04,1900-01-01 23:40:00,1900-01-01 23:50:00,windy,low,Buffet,motorcycle,1,no,metropolitan,20
0xab33,27.0,4.9,2022-03-02,1900-01-01 23:25:00,1900-01-01 23:40:00,fog,low,Drinks,scooter,0,no,metropolitan,20
0x7646,26.0,4.8,2022-03-27,1900-01-01 19:30:00,1900-01-01 19:40:00,cloudy,jam,Snack,motorcycle,1,no,metropolitan,43
0x5ef5,29.0,4.5,2022-03-04,1900-01-01 22:55:00,1900-01-01 23:05:00,windy,low,Drinks,motorcycle,0,no,urban,15
0x7ef7,31.0,4.5,2022-04-06,1900-01-01 20:25:00,1900-01-01 20:40:00,sunny,jam,Buffet,motorcycle,0,no,urban,29
0x1136,28.0,4.6,2022-03-26,1900-01-01 12:35:00,1900-01-01 12:50:00,stormy,high,Drinks,motorcycle,0,no,metropolitan,14
0x199d,21.0,4.0,2022-03-28,1900-01-01 22:45:00,1900-01-01 22:50:00,sandstorms,low,Buffet,motorcycle,0,no,metropolitan,19
0x871c,30.0,4.9,2022-03-18,1900-01-01 23:45:00,1900-01-01 23:55:00,windy,low,Drinks,motorcycle,1,no,metropolitan,29
